City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jiancheng,30.391,104.5491,13.18,80,60,1.88,CN,1680989598
1,tasiilaq,65.6145,-37.6368,1.73,89,100,10.62,GL,1680989598
2,mataura,-46.1927,168.8643,9.15,68,74,2.38,NZ,1680989598
3,mar del plata,-38.0023,-57.5575,23.38,81,0,6.71,AR,1680989598
4,albany,42.6001,-73.9662,11.0,22,35,0.89,US,1680989588
5,provideniya,64.3833,-173.3,-17.98,80,42,3.03,RU,1680989599
6,ushuaia,-54.8,-68.3,3.81,75,40,14.4,AR,1680989599
7,vaini,-21.2,-175.2,29.09,84,40,4.63,TO,1680989599
8,xiaoweizhai,26.1903,107.5125,13.63,83,98,0.49,CN,1680989599
9,sao filipe,14.8961,-24.4956,22.16,75,83,5.27,CV,1680989599
10,quang ngai,15.1167,108.8,21.91,95,23,2.19,VN,1680989599
11,barrow,71.2906,-156.7887,-28.99,76,0,4.12,US,1680989599
12,tuatapere,-46.1333,167.6833,12.07,71,21,1.51,NZ,1680989599
13,busselton,-33.65,115.3333,15.22,83,100,2.89,AU,1680989599
14,nikolskoye,59.7035,30.7861,2.94,99,46,1.86,RU,1680989600
15,east london,-33.0153,27.9116,20.43,89,100,5.56,ZA,1680989600
16,berlevag,70.8578,29.0864,1.0,75,100,11.32,NO,1680989600
17,talnakh,69.4865,88.3972,-29.33,93,60,0.27,RU,1680989600
18,luderitz,-26.6481,15.1594,14.32,70,31,11.21,NA,1680989600
19,valparaiso,-33.0393,-71.6273,18.89,73,20,2.57,CL,1680989383
20,pierre,44.3683,-100.351,9.51,61,0,1.54,US,1680989600
21,gat,31.61,34.7642,24.11,31,96,3.06,IL,1680989465
22,jamestown,42.097,-79.2353,11.96,38,100,4.63,US,1680989544
23,eenhana,-17.4667,16.3333,24.7,41,100,0.88,NA,1680989600
24,port alfred,-33.5906,26.891,17.88,97,100,0.45,ZA,1680989601
25,dalbandin,28.8947,64.4101,21.84,31,38,0.41,PK,1680989601
26,bluff,-46.6,168.3333,9.33,72,84,3.35,NZ,1680989601
27,lebu,-37.6167,-73.65,13.91,74,97,3.94,CL,1680989601
28,avarua,-21.2078,-159.775,25.03,94,75,6.17,CK,1680989601
29,vanavara,60.34,102.2797,-10.88,95,100,2.5,RU,1680989601
30,rikitea,-23.1203,-134.9692,24.9,64,7,7.79,PF,1680989601
31,klaksvik,62.2266,-6.589,7.51,86,90,12.23,FO,1680989601
32,yellowknife,62.456,-114.3525,4.29,70,75,6.17,CA,1680989601
33,cape town,-33.9258,18.4232,16.88,67,40,4.63,ZA,1680989566
34,bengbu,32.9408,117.3608,8.67,63,2,3.54,CN,1680989602
35,vondrozo,-22.8167,47.2833,19.49,98,100,0.55,MG,1680989602
36,ilulissat,69.2167,-51.1,3.01,44,100,5.14,GL,1680989555
37,atuona,-9.8,-139.0333,27.15,69,0,6.08,PF,1680989602
38,bantry,51.6833,-9.45,10.99,93,97,6.72,IE,1680989602
39,luanda,-8.8368,13.2343,28.0,83,40,3.6,AO,1680989602
40,longyearbyen,78.2186,15.6401,-6.09,73,75,4.12,SJ,1680989450
41,mayo,38.8876,-76.5119,11.4,37,0,2.06,US,1680989602
42,san borja,-14.8167,-66.85,24.89,79,76,1.52,BO,1680989602
43,hilo,19.7297,-155.09,25.85,71,75,1.79,US,1680989581
44,bratislava,48.1482,17.1067,5.61,87,20,2.06,SK,1680989603
45,puerto ayora,-0.7393,-90.3518,29.98,82,59,2.68,EC,1680989603
46,kahului,20.8947,-156.47,27.01,72,40,10.8,US,1680989597
47,tochtepec,18.8333,-97.8167,25.9,30,69,4.26,MX,1680989603
48,old town,50.087,14.4202,6.11,88,0,2.06,CZ,1680989603
49,punta arenas,-53.15,-70.9167,6.06,70,40,10.29,CL,1680989423
50,ancud,-41.8697,-73.8203,12.4,69,85,0.57,CL,1680989603
51,tezpur,26.6333,92.8,21.76,59,67,2.29,IN,1680989604
52,new norfolk,-42.7826,147.0587,7.73,77,98,1.79,AU,1680989604
